Milk,Tomato,Potato,Banana,Beef,Yogurt,,,,
Mango,Banana,Pork,jelly,Jam,Tomato,Nutella,Lettuce,Onion,Carrot
Bread,Onion,Eggs,Tomato,Chicken,Potato,,,,
Cheese,Coke,Bread,Pear,Chips,Potato,Carrot,Pepsi,,
Chips,Fish,Jam,Onion,Cheese,Pork,Orange,Beef,,
Chips,,,,,,,,,
Pepsi,,,,,,,,,
Cheese,Pepsi,Nutella,Tomato,Chips,Apple,Jam,Orange,,
Banana,,,,,,,,,
Beef,Mango,,,,,,,,
jelly,Pear,Sandwich,Potato,Yogurt,Apple,Sauce,Chicken,,
Fish,Bread,Milk,Grapes,Sandwich,Capsicum,Chips,Yogurt,jelly,Apple
Pepsi,Orange,Carrot,Tomato,,,,,,
Beef,Grapes,Nutella,Yogurt,Pear,Fish,Mango,,,
Bread,Beef,Milk,Grapes,Fish,,,,,
Nutella,Lettuce,Apple,Pork,Potato,Sandwich,Yogurt,Capsicum,,
Onion,Chips,Carrot,Lettuce,Sandwich,Nutella,Orange,,,
Orange,Beef,Chips,Coke,,,,,,
Chicken,Chips,,,,,,,,
Onion,Nutella,Milk,Cheese,Eggs,Capsicum,Pork,Banana,,
Lamb,Carrot,Sandwich,Cheese,,,,,,
Sandwich,Milk,Eggs,Beef,Chips,Potato,Pork,Chicken,Cheese,Pepsi
Orange,Capsicum,,,,,,,,
Cheese,Tomato,Milk,Beef,,,,,,
Chicken,Tomato,Yogurt,Nutella,Potato,Mango,Chips,Fish,,
Fish,Carrot,Orange,Pork,Sauce,Apple,,,,
Tomato,Grapes,Mango,,,,,,,
Cheese,Jam,Tomato,Coke,Orange,Chicken,Capsicum,,,
Onion,jelly,Chips,Jam,,,,,,
Capsicum,Potato,jelly,Sauce,Onion,Pear,,,,
Onion,Apple,Chips,Lamb,Pear,,,,,
Jam,Nutella,Banana,Grapes,Lettuce,Capsicum,Bread,Sauce,,
Capsicum,,,,,,,,,
Coke,Beef,Banana,Capsicum,Chips,Jam,Carrot,Pear,Lettuce,Mango
Pear,Lettuce,Fish,Lamb,Eggs,Banana,Pork,Chicken,Carrot,Milk
Yogurt,Chicken,Nutella,Pepsi,Capsicum,Mango,jelly,,,
Banana,Chips,,,,,,,,
